P1,P2,P3,Fx,Fy,Fz,thetaX,thetaY,d,X,Y,Z
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.022262605,0.13805467,0.006565605,0.0298241,0.006364558,0.179965608
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.021949397,0.13966635,0.006620496,0.030258322,0.006319458,0.179971904
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.021607043,0.14111803,0.006671537,0.030646152,0.006272954,0.17997534
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.021278244,0.14241672,0.006716285,0.030992886,0.006226291,0.17997644
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.02095178,0.14358544,0.006755288,0.031303133,0.006180375,0.17997565
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.020624833,0.14464103,0.006789161,0.031580923,0.006135856,0.179973347
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.020318162,0.14558803,0.006818885,0.031829792,0.006093182,0.179969855
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.020031942,0.14643686,0.006845015,0.032052858,0.00605265,0.179965445
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.019766493,0.1471878,0.006868299,0.032252872,0.006014435,0.179960349
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.019520579,0.14786205,0.00688877,0.032432273,0.005978627,0.179954759
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.019293474,0.1484676,0.006906775,0.032593228,0.005945248,0.179948838
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.019084303,0.14901161,0.006922613,0.032737661,0.005914268,0.17994272
13794.99495,25215.12667,-11169.5947,11.81818182,11.81818182,13.33333333,-0.018892102,0.1495004,0.00693655,0.032867289,0.005885624,0.179936514
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.018715873,0.14993964,0.006948815,0.032983645,0.005859226,0.179930312
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.022509025,0.151305,0.007319463,0.033544005,0.006629177,0.1807082
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.025743892,0.15298975,0.007640784,0.034156287,0.007435516,0.181381977
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.028354215,0.15474516,0.007916465,0.034787686,0.008199991,0.1819547
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.030721564,0.15656587,0.008159193,0.035422359,0.008912663,0.182442161
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.03289227,0.15846117,0.00837797,0.036049881,0.009575232,0.182857068
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.034819726,0.16042978,0.008575889,0.036663152,0.010191055,0.183209735
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.03661422,0.16240047,0.008754777,0.037257383,0.010763313,0.183508732
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.038253363,0.16441914,0.008919182,0.037829445,0.011294838,0.183761299
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.039790656,0.16636637,0.009066508,0.038377396,0.011788194,0.183973632
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.041230477,0.1682357,0.009198446,0.038900161,0.012245763,0.184151076
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.042577192,0.17002334,0.009316529,0.039397287,0.012669795,0.18429828
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.043835253,0.17172748,0.00942215,0.039868775,0.013062428,0.184419296
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.045009043,0.17334759,0.009516567,0.040314953,0.0134257,0.184517673
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.046102967,0.17488442,0.009600922,0.040736382,0.01376155,0.184596519
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.047121357,0.17633933,0.009676247,0.041133791,0.01407182,0.18465856
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.048068434,0.17771432,0.009743477,0.04150802,0.014358255,0.184706189
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.04894833,0.17901187,0.009803452,0.041859985,0.014622505,0.184741501
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.049765047,0.18023467,0.009856931,0.042190648,0.014866125,0.184766333
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.050522424,0.1813856,0.009904599,0.042500994,0.015090577,0.184782289
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.051224153,0.18246773,0.009947071,0.042792012,0.015297236,0.184790774
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.051873736,0.18348417,0.009984897,0.043064687,0.015487391,0.18479301
32453.95299,31572.84397,-9649.973987,6.06060606,0.909090909,8.181818181,-0.052474555,0.18443803,0.010018577,0.043319988,0.015662248,0.184790062
