stretch,stress
1,0
1,0
1,0
1,0
1,0
1.000666667,0
1.000666667,0
1.000666667,0
1.001333333,0
1.001333333,0
1.002,0
1.002,0
1.002,0
1.003333333,0
1.003333333,0
1.004,0
1.004,0
1.004,0
1.004666667,0
1.004666667,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.005333333,0
1.006666667,0
1.007333333,0
1.008666667,0
1.01,0
1.010666667,0
1.011333333,0
1.013333333,0
1.014,0
1.014666667,0
1.016666667,0
1.017333333,0
1.018,8.538980446
1.02,8.538980446
1.020666667,8.538980446
1.022,8.538980446
1.022666667,8.538980446
1.024,8.538980446
1.025333333,8.538980446
1.026,17.07796089
1.027333333,17.07796089
1.028666667,17.07796089
1.029333333,17.07796089
1.030666667,17.07796089
1.032,17.07796089
1.032666667,25.61694134
1.034666667,25.61694134
1.035333333,25.61694134
1.036666667,25.61694134
1.038,25.61694134
1.038666667,34.15592178
1.04,34.15592178
1.041333333,34.15592178
1.042,34.15592178
1.042666667,34.15592178
1.044666667,34.15592178
1.045333333,42.69490223
1.047333333,42.69490223
1.048,42.69490223
1.049333333,42.69490223
1.050666667,51.23388267
1.051333333,51.23388267
1.052,51.23388267
1.054,51.23388267
1.054666667,51.23388267
1.056666667,59.77286312
1.057333333,59.77286312
1.058666667,59.77286312
1.06,59.77286312
1.060666667,68.31184357
1.062,68.31184357
1.063333333,68.31184357
1.064,68.31184357
1.066,68.31184357
1.066666667,68.31184357
1.067333333,76.85082401
1.069333333,76.85082401
1.07,76.85082401
1.071333333,76.85082401
1.072666667,76.85082401
1.073333333,85.38980446
1.074,85.38980446
1.076,85.38980446
1.076666667,85.38980446
1.078666667,85.38980446
1.079333333,93.9287849
1.080666667,93.9287849
1.082,93.9287849
1.082666667,93.9287849
1.084,93.9287849
1.085333333,102.4677653
1.086,102.4677653
1.088,102.4677653
1.088666667,102.4677653
1.089333333,102.4677653
1.091333333,102.4677653
1.092,111.0067458
1.093333333,111.0067458
1.094666667,111.0067458
1.095333333,111.0067458
1.097333333,111.0067458
1.098,119.5457262
1.099333333,119.5457262
1.100666667,119.5457262
1.101333333,119.5457262
1.102666667,119.5457262
1.104,119.5457262
1.104666667,128.0847067
1.106666667,128.0847067
1.107333333,128.0847067
1.108666667,128.0847067
1.11,136.6236871
1.110666667,136.6236871
1.112,136.6236871
1.113333333,136.6236871
1.114666667,136.6236871
1.115333333,145.1626676
1.116666667,145.1626676
1.118,145.1626676
