Pressure1,Pressure2,Pressure3,predicted_position1,predicted_position2,predicted_position3
12,-14,-20,-0.04706332,-0.003213871,0.16921929
14,-14,-20,-0.049231507,-0.003004757,0.16895218
16,-14,-20,-0.051150855,-0.002893061,0.16862036
18,-14,-20,-0.053066187,-0.002780787,0.16828522
20,-14,-20,-0.054993127,-0.002795551,0.16790189
22,-14,-20,-0.056845758,-0.002632091,0.1673357
24,-14,-20,-0.058643874,-0.002662673,0.16680942
26,-14,-20,-0.06020643,-0.002774704,0.16644086
28,-14,-20,-0.061556105,-0.002601198,0.1662931
30,-14,-20,-0.06284788,-0.002495708,0.16615959
32,-14,-20,-0.06415718,-0.00237396,0.16591735
34,-14,-20,-0.06544078,-0.002263338,0.16548671
-20,-12,-20,0.00684472,-0.00970179,0.1646681
-18,-12,-20,0.002714975,-0.009667363,0.1659991
-16,-12,-20,-0.001360409,-0.00951957,0.16726255
-14,-12,-20,-0.005326784,-0.009077809,0.16832864
-12,-12,-20,-0.009505983,-0.008771091,0.16918269
-10,-12,-20,-0.012908714,-0.008487704,0.16974385
-8,-12,-20,-0.016138462,-0.008271725,0.16995077
-6,-12,-20,-0.019426899,-0.008070273,0.17019811
-4,-12,-20,-0.022732245,-0.007893734,0.17054395
-2,-12,-20,-0.025683189,-0.007740031,0.17077088
0,-12,-20,-0.02868623,-0.007749121,0.17098564
2,-12,-20,-0.03167747,-0.007883005,0.17116499
4,-12,-20,-0.03458062,-0.007972599,0.17120634
6,-12,-20,-0.0373304,-0.007870501,0.17119229
8,-12,-20,-0.040021546,-0.007798066,0.17113043
10,-12,-20,-0.042715654,-0.007628388,0.17099929
12,-12,-20,-0.04525957,-0.007381128,0.17077859
14,-12,-20,-0.047422953,-0.007169731,0.17050578
16,-12,-20,-0.049465533,-0.00700892,0.17020509
18,-12,-20,-0.05139937,-0.006961076,0.16985226
20,-12,-20,-0.053362455,-0.007032509,0.16943963
22,-12,-20,-0.05519911,-0.00700884,0.16899712
24,-12,-20,-0.056879863,-0.00711619,0.168762
26,-12,-20,-0.058375865,-0.007222164,0.16854085
28,-12,-20,-0.059740953,-0.007098791,0.16845582
30,-12,-20,-0.06105742,-0.006997318,0.16836187
32,-12,-20,-0.062439427,-0.006818886,0.16799206
34,-12,-20,-0.06380742,-0.006626629,0.16759244
-20,-10,-20,0.008705755,-0.012890425,0.1651305
-18,-10,-20,0.004698671,-0.013034694,0.16654198
-16,-10,-20,0.000677181,-0.013040912,0.16787428
-14,-10,-20,-0.003187214,-0.012742922,0.169052
-12,-10,-20,-0.007336493,-0.012565795,0.1699049
-10,-10,-20,-0.011181161,-0.012383121,0.17051756
-8,-10,-20,-0.014392742,-0.012288732,0.17076744
-6,-10,-20,-0.017685177,-0.012313055,0.1711476
-4,-10,-20,-0.02103387,-0.01231071,0.1715176
-2,-10,-20,-0.024066303,-0.012388445,0.17175098
0,-10,-20,-0.027034456,-0.012380998,0.17192437
2,-10,-20,-0.030014329,-0.012376651,0.1721039
4,-10,-20,-0.03289953,-0.012281154,0.1722798
6,-10,-20,-0.035634115,-0.01212303,0.17238308
8,-10,-20,-0.038319357,-0.01193623,0.17242981
10,-10,-20,-0.040993385,-0.011738068,0.17240538
12,-10,-20,-0.043461453,-0.011425334,0.1722459
14,-10,-20,-0.045621887,-0.01120102,0.17198233
16,-10,-20,-0.04778496,-0.010989067,0.17170906
18,-10,-20,-0.049747504,-0.011036755,0.17128943
20,-10,-20,-0.05164134,-0.011016755,0.17085062
22,-10,-20,-0.053411543,-0.011106625,0.17057097
24,-10,-20,-0.055078745,-0.011238264,0.1703656
26,-10,-20,-0.056524716,-0.011379858,0.17016582
28,-10,-20,-0.057885595,-0.011215726,0.17014529
30,-10,-20,-0.05921668,-0.011021146,0.16996644
32,-10,-20,-0.06062009,-0.010761716,0.16952929
34,-10,-20,-0.062022626,-0.010510006,0.16908993
-20,-8,-20,0.010473495,-0.01569004,0.16539632
-18,-8,-20,0.006517191,-0.015851125,0.1668814
-16,-8,-20,0.002549809,-0.015997168,0.16827148
-14,-8,-20,-0.001201528,-0.016004324,0.16955
-12,-8,-20,-0.005256241,-0.015995368,0.17049526
-10,-8,-20,-0.009311249,-0.01591332,0.17116177
-8,-8,-20,-0.012924623,-0.015918631,0.17165923
-6,-8,-20,-0.01623282,-0.0160909,0.1720411
-4,-8,-20,-0.019541934,-0.016318081,0.17239569
-2,-8,-20,-0.022586139,-0.016545769,0.17264518
0,-8,-20,-0.025419269,-0.016787013,0.17279296
2,-8,-20,-0.02845239,-0.01685991,0.17300522
4,-8,-20,-0.031193007,-0.01652822,0.17314935
6,-8,-20,-0.03394045,-0.016184919,0.17327571
8,-8,-20,-0.036653005,-0.01599326,0.17335014
10,-8,-20,-0.039310902,-0.015805516,0.17339966
12,-8,-20,-0.04170436,-0.015629334,0.1733885
14,-8,-20,-0.043867975,-0.015307156,0.17317285
16,-8,-20,-0.046028778,-0.015023547,0.1728466
18,-8,-20,-0.048031565,-0.014795526,0.17244159
20,-8,-20,-0.04990473,-0.014744985,0.17213793
22,-8,-20,-0.051707197,-0.014856,0.17188841
24,-8,-20,-0.05332559,-0.014992843,0.17169447
26,-8,-20,-0.054771017,-0.015133028,0.17149417
28,-8,-20,-0.056152374,-0.014986947,0.17143674
30,-8,-20,-0.057532184,-0.014780047,0.17113622
32,-8,-20,-0.05889074,-0.014550868,0.17082393
34,-8,-20,-0.060249306,-0.014321682,0.17051166
-20,-6,-20,0.012332097,-0.018513145,0.16567588
-18,-6,-20,0.008321648,-0.018580452,0.16719526
-16,-6,-20,0.004352843,-0.018673074,0.16858168
-14,-6,-20,0.000499707,-0.018662075,0.16982044
-12,-6,-20,-0.003481385,-0.018957814,0.17092027
-10,-6,-20,-0.007492944,-0.019304551,0.17179753
-8,-6,-20,-0.011211846,-0.019575793,0.17240398
-6,-6,-20,-0.014761626,-0.01976086,0.17285164
-4,-6,-20,-0.018026287,-0.019952241,0.17314433
-2,-6,-20,-0.021185528,-0.020092066,0.17339967
0,-6,-20,-0.024168024,-0.020354152,0.17360026
2,-6,-20,-0.02697492,-0.020484122,0.17372796
4,-6,-20,-0.029683629,-0.020128332,0.17381436
6,-6,-20,-0.03239234,-0.019772545,0.17390074
8,-6,-20,-0.035100546,-0.019422503,0.17398551
10,-6,-20,-0.03773441,-0.019267097,0.1739907
12,-6,-20,-0.04002117,-0.019173075,0.1739494
14,-6,-20,-0.042147234,-0.0189221,0.17377546
16,-6,-20,-0.0442315,-0.018624896,0.17346597
18,-6,-20,-0.04629501,-0.018397802,0.17323683
20,-6,-20,-0.04814189,-0.01844458,0.17305253
22,-6,-20,-0.04995184,-0.018540906,0.172923
24,-6,-20,-0.05149826,-0.01860247,0.17279284
26,-6,-20,-0.052924458,-0.018666347,0.17265825
28,-6,-20,-0.05435935,-0.018432807,0.17249112
30,-6,-20,-0.055730924,-0.01823428,0.17219076
32,-6,-20,-0.05710137,-0.018036116,0.17189021
34,-6,-20,-0.05847181,-0.01783795,0.17158966
-20,-4,-20,0.014312998,-0.021393465,0.1660016
-18,-4,-20,0.010302829,-0.021296334,0.16751161
-16,-4,-20,0.006190293,-0.021240966,0.16888705
-14,-4,-20,0.002142441,-0.021552505,0.17012653
-12,-4,-20,-0.001854499,-0.02193912,0.17128386
-10,-4,-20,-0.005919902,-0.022447245,0.17227758
-8,-4,-20,-0.009651093,-0.02282957,0.17287062
-6,-4,-20,-0.013293759,-0.023091223,0.17338927
-4,-4,-20,-0.016638786,-0.023295457,0.1737051
-2,-4,-20,-0.019897992,-0.023381654,0.17394054
0,-4,-20,-0.023042386,-0.0234966,0.17414574
2,-4,-20,-0.025713226,-0.023478882,0.17420277
4,-4,-20,-0.028284488,-0.023357052,0.17424
6,-4,-20,-0.030985938,-0.023013616,0.1743238
8,-4,-20,-0.03369465,-0.022657828,0.17441018
10,-4,-20,-0.036397453,-0.022302462,0.17449388
12,-4,-20,-0.038627673,-0.022185065,0.17445496
14,-4,-20,-0.04063282,-0.022119163,0.17427011
16,-4,-20,-0.04264357,-0.021956766,0.17400144
18,-4,-20,-0.04461176,-0.021956345,0.17392094
20,-4,-20,-0.04646365,-0.022097044,0.17388923
22,-4,-20,-0.04822522,-0.022294594,0.17383462
24,-4,-20,-0.049709287,-0.022364326,0.17376009
26,-4,-20,-0.051165033,-0.022410695,0.17355518
28,-4,-20,-0.052621283,-0.022167103,0.17329882
30,-4,-20,-0.053974472,-0.021891998,0.17306432
32,-4,-20,-0.05532768,-0.021616891,0.17282982
34,-4,-20,-0.05668087,-0.02134179,0.17259534
-20,-2,-20,0.016292542,-0.024097482,0.16629066
-18,-2,-20,0.012271227,-0.023987688,0.16778739
-16,-2,-20,0.008107054,-0.024155265,0.16917913
-14,-2,-20,0.003877062,-0.024495576,0.17033973
-12,-2,-20,-0.000331272,-0.024874417,0.17142512
-10,-2,-20,-0.004414951,-0.025305968,0.17247653
-8,-2,-20,-0.008218297,-0.025642982,0.17300995
-6,-2,-20,-0.011889931,-0.025877468,0.17351308
-4,-2,-20,-0.015592558,-0.026116118,0.1740197
-2,-2,-20,-0.018728498,-0.02640055,0.1743304
0,-2,-20,-0.02183429,-0.026568012,0.17459388
2,-2,-20,-0.02447106,-0.02644041,0.17468455
4,-2,-20,-0.027042314,-0.026318576,0.17472179
